Strain,Group,Color,Replicate,HOBO,Temp,RH,FinalDateTime
ROCK,UF,B,Noon,0,33.712,57.893,7/25/2023 13:18
ROCK,UF,B,Noon,0,33.66,58.168,7/25/2023 13:28
ROCK,UF,B,Noon,0,33.712,56.938,7/25/2023 13:38
ROCK,UF,B,Noon,0,33.817,54.824,7/25/2023 13:48
ROCK,UF,B,Noon,0,33.896,53.299,7/25/2023 13:58
ROCK,UF,B,Noon,0,33.896,53.533,7/25/2023 14:08
ROCK,UF,B,Noon,0,33.896,53.533,7/25/2023 14:18
ROCK,UF,B,Noon,0,33.922,54.56,7/25/2023 14:28
ROCK,UF,B,Noon,0,33.896,53.082,7/25/2023 14:38
ROCK,UF,B,Noon,0,33.896,53.286,7/25/2023 14:48
ROCK,UF,B,Noon,0,33.896,50.853,7/25/2023 14:58
ROCK,UF,B,Noon,0,33.817,53.128,7/25/2023 15:08
ROCK,UF,B,Noon,0,33.817,46.969,7/25/2023 15:18
ROCK,BF,B,Afternoon,192,33.347,54.951,7/25/2023 16:44
ROCK,BF,B,Afternoon,192,33.061,53.639,7/25/2023 16:54
ROCK,BF,B,Afternoon,192,32.88,53.29,7/25/2023 17:04
ROCK,BF,B,Afternoon,192,32.44,45.348,7/25/2023 17:14
ROCK,BF,B,Afternoon,192,31.313,44.442,7/25/2023 17:24
ROCK,BF,B,Afternoon,192,30.325,47.38,7/25/2023 17:34
ROCK,BF,B,Afternoon,192,29.797,49.684,7/25/2023 17:44
ROCK,BF,B,Afternoon,192,29.521,51.66,7/25/2023 17:54
ROCK,BF,B,Afternoon,192,29.246,53.205,7/25/2023 18:04
ROCK,BF,B,Afternoon,192,29.047,55.143,7/25/2023 18:14
ROCK,BF,B,Afternoon,192,28.798,56.885,7/25/2023 18:24
ROCK,BF,B,Afternoon,192,28.549,57.879,7/25/2023 18:34
ROCK,BF,B,Afternoon,192,28.375,58.955,7/25/2023 18:44
ROCK,BF,B,Afternoon,128,34.001,59.306,7/25/2023 16:15
ROCK,BF,B,Afternoon,128,33.66,60.166,7/25/2023 16:25
ROCK,BF,B,Afternoon,128,33.425,60.458,7/25/2023 16:35
ROCK,BF,B,Afternoon,128,33.217,58.209,7/25/2023 16:45
ROCK,BF,B,Afternoon,128,32.957,57.622,7/25/2023 16:55
ROCK,BF,B,Afternoon,128,32.802,57.092,7/25/2023 17:05
ROCK,BF,B,Afternoon,128,32.157,47.119,7/25/2023 17:15
ROCK,BF,B,Afternoon,128,30.957,48.569,7/25/2023 17:25
ROCK,BF,B,Afternoon,128,30.123,51.013,7/25/2023 17:35
ROCK,BF,B,Afternoon,128,29.772,53.335,7/25/2023 17:45
ROCK,BF,B,Afternoon,128,29.521,55.296,7/25/2023 17:55
ROCK,BF,B,Afternoon,128,29.271,56.836,7/25/2023 18:05
ROCK,BF,B,Afternoon,128,29.071,58.691,7/25/2023 18:15
ROCK,BF,B,Afternoon,64,33.712,58.601,7/25/2023 16:17
ROCK,BF,B,Afternoon,64,33.425,59.615,7/25/2023 16:27
ROCK,BF,B,Afternoon,64,33.243,60.058,7/25/2023 16:37
ROCK,BF,B,Afternoon,64,33.035,57.951,7/25/2023 16:47
ROCK,BF,B,Afternoon,64,32.802,57.728,7/25/2023 16:57
ROCK,BF,B,Afternoon,64,32.647,57.041,7/25/2023 17:07
ROCK,BF,B,Afternoon,64,31.85,46.824,7/25/2023 17:17
ROCK,BF,B,Afternoon,64,30.78,49.031,7/25/2023 17:27
ROCK,BF,B,Afternoon,64,30.048,51.591,7/25/2023 17:37
ROCK,BF,B,Afternoon,64,29.772,53.247,7/25/2023 17:47
ROCK,BF,B,Afternoon,64,29.521,55.182,7/25/2023 17:57
ROCK,BF,B,Afternoon,64,29.296,56.862,7/25/2023 18:07
ROCK,BF,B,Afternoon,64,29.071,58.726,7/25/2023 18:17
ROCK,BF,B,Afternoon,0,33.347,59.886,7/25/2023 16:18
ROCK,BF,B,Afternoon,0,33.139,61.272,7/25/2023 16:28
ROCK,BF,B,Afternoon,0,33.009,61.631,7/25/2023 16:38
ROCK,BF,B,Afternoon,0,32.828,59.129,7/25/2023 16:48
ROCK,BF,B,Afternoon,0,32.621,62,7/25/2023 16:58
ROCK,BF,B,Afternoon,0,32.492,57.354,7/25/2023 17:08
ROCK,BF,B,Afternoon,0,31.747,48.059,7/25/2023 17:18
ROCK,BF,B,Afternoon,0,30.881,49.977,7/25/2023 17:28
ROCK,BF,B,Afternoon,0,30.3,51.584,7/25/2023 17:38
ROCK,BF,B,Afternoon,0,30.023,53.654,7/25/2023 17:48
ROCK,BF,B,Afternoon,0,29.797,54.988,7/25/2023 17:58
ROCK,BF,B,Afternoon,0,29.596,56.665,7/25/2023 18:08
ROCK,BF,B,Afternoon,0,29.346,58.522,7/25/2023 18:18
ROCK,UF,B,Morning,192,31.034,69.451,7/26/2023 9:14
ROCK,UF,B,Morning,192,31.135,68.789,7/26/2023 9:24
ROCK,UF,B,Morning,192,31.262,67.419,7/26/2023 9:34
ROCK,UF,B,Morning,192,31.517,66.182,7/26/2023 9:44
ROCK,UF,B,Morning,192,31.773,64.105,7/26/2023 9:54
ROCK,UF,B,Morning,192,32.106,62.004,7/26/2023 10:04
ROCK,UF,B,Morning,192,32.518,61.073,7/26/2023 10:14
ROCK,UF,B,Morning,192,32.802,58.452,7/26/2023 10:24
ROCK,UF,B,Morning,192,32.828,57.651,7/26/2023 10:34
ROCK,UF,B,Morning,192,32.854,57.899,7/26/2023 10:44
ROCK,UF,B,Morning,192,32.983,56.392,7/26/2023 10:54
ROCK,UF,B,Morning,192,33.191,55.666,7/26/2023 11:04
ROCK,UF,B,Morning,192,33.113,54.3,7/26/2023 11:14
ROCK,UF,B,Morning,128,30.856,73.221,7/26/2023 9:15
ROCK,UF,B,Morning,128,30.907,72.574,7/26/2023 9:25
ROCK,UF,B,Morning,128,31.084,70.838,7/26/2023 9:35
ROCK,UF,B,Morning,128,31.313,70.09,7/26/2023 9:45
ROCK,UF,B,Morning,128,31.568,67.659,7/26/2023 9:55
ROCK,UF,B,Morning,128,31.85,65.897,7/26/2023 10:05
ROCK,UF,B,Morning,128,32.209,64.93,7/26/2023 10:15
ROCK,UF,B,Morning,128,32.466,62.479,7/26/2023 10:25
ROCK,UF,B,Morning,128,32.389,62.318,7/26/2023 10:35
ROCK,UF,B,Morning,128,32.389,62.519,7/26/2023 10:45
ROCK,UF,B,Morning,128,32.466,61.268,7/26/2023 10:55
ROCK,UF,B,Morning,128,32.699,60.043,7/26/2023 11:05
ROCK,UF,B,Morning,128,32.595,59.179,7/26/2023 11:15
ROCK,UF,B,Morning,64,30.577,73.308,7/26/2023 9:17
ROCK,UF,B,Morning,64,30.628,72.87,7/26/2023 9:27
ROCK,UF,B,Morning,64,30.755,71.302,7/26/2023 9:37
ROCK,UF,B,Morning,64,30.957,71.134,7/26/2023 9:47
ROCK,UF,B,Morning,64,31.211,69.017,7/26/2023 9:57
ROCK,UF,B,Morning,64,31.466,67.315,7/26/2023 10:07
ROCK,UF,B,Morning,64,31.798,66.365,7/26/2023 10:17
ROCK,UF,B,Morning,64,32.003,64.906,7/26/2023 10:27
ROCK,UF,B,Morning,64,31.952,64.619,7/26/2023 10:37
ROCK,UF,B,Morning,64,31.952,64.619,7/26/2023 10:47
ROCK,UF,B,Morning,64,32.055,62.559,7/26/2023 10:57
ROCK,UF,B,Morning,64,32.26,61.949,7/26/2023 11:07
ROCK,UF,B,Morning,64,32.183,63.395,7/26/2023 11:17
ROCK,UF,B,Morning,0,30.123,75.423,7/26/2023 9:18
ROCK,UF,B,Morning,0,30.149,75.168,7/26/2023 9:28
ROCK,UF,B,Morning,0,30.3,74.721,7/26/2023 9:38
ROCK,UF,B,Morning,0,30.451,73.881,7/26/2023 9:48
ROCK,UF,B,Morning,0,30.653,73.19,7/26/2023 9:58
ROCK,UF,B,Morning,0,30.881,72.015,7/26/2023 10:08
ROCK,UF,B,Morning,0,31.11,70.973,7/26/2023 10:18
ROCK,UF,B,Morning,0,31.288,70.05,7/26/2023 10:28
ROCK,UF,B,Morning,0,31.288,69.878,7/26/2023 10:38
ROCK,UF,B,Morning,0,31.364,69.237,7/26/2023 10:48
ROCK,UF,B,Morning,0,31.441,68.625,7/26/2023 10:58
ROCK,UF,B,Morning,0,31.568,68.449,7/26/2023 11:08
ROCK,UF,B,Morning,0,31.619,66.495,7/26/2023 11:18
ROCK,BF,B,Noon,192,36.345,39.959,7/26/2023 12:54
ROCK,BF,B,Noon,192,36.697,38.845,7/26/2023 13:04
ROCK,BF,B,Noon,192,36.67,37.98,7/26/2023 13:14
ROCK,BF,B,Noon,192,36.155,39.535,7/26/2023 13:24
ROCK,BF,B,Noon,192,35.35,39.429,7/26/2023 13:34
ROCK,BF,B,Noon,192,34.343,43.328,7/26/2023 13:44
ROCK,BF,B,Noon,192,33.53,49.427,7/26/2023 13:54
ROCK,BF,B,Noon,192,32.906,52.681,7/26/2023 14:04
ROCK,BF,B,Noon,192,32.44,55.952,7/26/2023 14:14
ROCK,BF,B,Noon,192,32.132,58.06,7/26/2023 14:24
ROCK,BF,B,Noon,192,31.85,60.053,7/26/2023 14:34
ROCK,BF,B,Noon,192,31.696,61.942,7/26/2023 14:44
ROCK,BF,B,Noon,192,31.645,63.444,7/26/2023 14:54
ROCK,BF,B,Noon,128,35.457,46.342,7/26/2023 12:55
ROCK,BF,B,Noon,128,35.752,43.834,7/26/2023 13:05
ROCK,BF,B,Noon,128,35.564,42.905,7/26/2023 13:15
ROCK,BF,B,Noon,128,35.244,43.8,7/26/2023 13:25
ROCK,BF,B,Noon,128,34.501,43.147,7/26/2023 13:35
ROCK,BF,B,Noon,128,33.66,49.936,7/26/2023 13:45
ROCK,BF,B,Noon,128,33.061,54.883,7/26/2023 13:55
ROCK,BF,B,Noon,128,32.569,57.907,7/26/2023 14:05
ROCK,BF,B,Noon,128,32.209,60.865,7/26/2023 14:15
ROCK,BF,B,Noon,128,31.926,62.737,7/26/2023 14:25
ROCK,BF,B,Noon,128,31.696,64.724,7/26/2023 14:35
ROCK,BF,B,Noon,128,31.568,66.571,7/26/2023 14:45
ROCK,BF,B,Noon,128,31.543,68.034,7/26/2023 14:55
ROCK,BF,B,Noon,64,34.792,49.007,7/26/2023 12:57
ROCK,BF,B,Noon,64,35.004,49.297,7/26/2023 13:07
ROCK,BF,B,Noon,64,34.818,48.526,7/26/2023 13:17
ROCK,BF,B,Noon,64,34.554,46.7,7/26/2023 13:27
ROCK,BF,B,Noon,64,33.948,45.379,7/26/2023 13:37
ROCK,BF,B,Noon,64,33.243,51.158,7/26/2023 13:47
ROCK,BF,B,Noon,64,32.724,55.901,7/26/2023 13:57
ROCK,BF,B,Noon,64,32.337,58.726,7/26/2023 14:07
ROCK,BF,B,Noon,64,32.029,61.265,7/26/2023 14:17
ROCK,BF,B,Noon,64,31.773,62.895,7/26/2023 14:27
ROCK,BF,B,Noon,64,31.543,64.752,7/26/2023 14:37
ROCK,BF,B,Noon,64,31.441,66.559,7/26/2023 14:47
ROCK,BF,B,Noon,64,31.415,67.394,7/26/2023 14:57
ROCK,BF,B,Noon,0,33.87,60.389,7/26/2023 12:58
ROCK,BF,B,Noon,0,34.027,56.798,7/26/2023 13:08
ROCK,BF,B,Noon,0,33.87,58.314,7/26/2023 13:18
ROCK,BF,B,Noon,0,33.66,57.374,7/26/2023 13:28
ROCK,BF,B,Noon,0,33.191,53.539,7/26/2023 13:38
ROCK,BF,B,Noon,0,32.75,56.103,7/26/2023 13:48
ROCK,BF,B,Noon,0,32.415,59.439,7/26/2023 13:58
ROCK,BF,B,Noon,0,32.106,62.474,7/26/2023 14:08
ROCK,BF,B,Noon,0,31.85,64.119,7/26/2023 14:18
ROCK,BF,B,Noon,0,31.645,65.061,7/26/2023 14:28
ROCK,BF,B,Noon,0,31.492,67.169,7/26/2023 14:38
ROCK,BF,B,Noon,0,31.39,67.945,7/26/2023 14:48
ROCK,BF,B,Noon,0,31.39,68.171,7/26/2023 14:58
ROCK,M,B,Afternoon,192,32.029,54.589,7/26/2023 16:14
ROCK,M,B,Afternoon,192,32.106,55.305,7/26/2023 16:24
ROCK,M,B,Afternoon,192,32.209,55.646,7/26/2023 16:34
ROCK,M,B,Afternoon,192,32.312,55.438,7/26/2023 16:44
ROCK,M,B,Afternoon,192,32.286,54.399,7/26/2023 16:54
ROCK,M,B,Afternoon,192,32.055,46.239,7/26/2023 17:04
ROCK,M,B,Afternoon,192,31.798,42.843,7/26/2023 17:14
ROCK,M,B,Afternoon,192,31.568,43.72,7/26/2023 17:24
ROCK,M,B,Afternoon,192,31.364,45.356,7/26/2023 17:34
ROCK,M,B,Afternoon,192,31.059,48.117,7/26/2023 17:44
ROCK,M,B,Afternoon,192,30.729,50.048,7/26/2023 17:54
ROCK,M,B,Afternoon,192,30.426,52.038,7/26/2023 18:04
ROCK,M,B,Afternoon,192,30.149,53.43,7/26/2023 18:14
ROCK,M,B,Afternoon,128,32.003,58.364,7/26/2023 16:15
ROCK,M,B,Afternoon,128,32.055,59.117,7/26/2023 16:25
ROCK,M,B,Afternoon,128,32.209,59.362,7/26/2023 16:35
ROCK,M,B,Afternoon,128,32.286,58.891,7/26/2023 16:45
ROCK,M,B,Afternoon,128,32.234,56.581,7/26/2023 16:55
ROCK,M,B,Afternoon,128,31.978,48.124,7/26/2023 17:05
ROCK,M,B,Afternoon,128,31.747,45.397,7/26/2023 17:15
ROCK,M,B,Afternoon,128,31.543,46.672,7/26/2023 17:25
ROCK,M,B,Afternoon,128,31.313,49.111,7/26/2023 17:35
ROCK,M,B,Afternoon,128,30.983,51.72,7/26/2023 17:45
ROCK,M,B,Afternoon,128,30.679,53.818,7/26/2023 17:55
ROCK,M,B,Afternoon,128,30.401,55.503,7/26/2023 18:05
ROCK,M,B,Afternoon,128,30.149,57.096,7/26/2023 18:15
ROCK,M,B,Afternoon,64,31.798,60.554,7/26/2023 16:17
ROCK,M,B,Afternoon,64,31.85,61.673,7/26/2023 16:27
ROCK,M,B,Afternoon,64,32.003,60.211,7/26/2023 16:37
ROCK,M,B,Afternoon,64,32.08,60.11,7/26/2023 16:47
ROCK,M,B,Afternoon,64,32.029,55.828,7/26/2023 16:57
ROCK,M,B,Afternoon,64,31.798,48.055,7/26/2023 17:07
ROCK,M,B,Afternoon,64,31.594,45.914,7/26/2023 17:17
ROCK,M,B,Afternoon,64,31.415,47.28,7/26/2023 17:27
ROCK,M,B,Afternoon,64,31.161,49.83,7/26/2023 17:37
ROCK,M,B,Afternoon,64,30.881,52.088,7/26/2023 17:47
ROCK,M,B,Afternoon,64,30.603,53.97,7/26/2023 17:57
ROCK,M,B,Afternoon,64,30.325,55.595,7/26/2023 18:07
ROCK,M,B,Afternoon,64,30.098,57.01,7/26/2023 18:17
ROCK,M,B,Afternoon,0,31.594,63.778,7/26/2023 16:18
ROCK,M,B,Afternoon,0,31.619,63.911,7/26/2023 16:28
ROCK,M,B,Afternoon,0,31.722,64.399,7/26/2023 16:38
ROCK,M,B,Afternoon,0,31.773,64.476,7/26/2023 16:48
ROCK,M,B,Afternoon,0,31.773,56.378,7/26/2023 16:58
ROCK,M,B,Afternoon,0,31.619,55.241,7/26/2023 17:08
ROCK,M,B,Afternoon,0,31.441,55.181,7/26/2023 17:18
ROCK,M,B,Afternoon,0,31.262,49.034,7/26/2023 17:28
ROCK,M,B,Afternoon,0,31.084,52.288,7/26/2023 17:38
ROCK,M,B,Afternoon,0,30.856,53.486,7/26/2023 17:48
ROCK,M,B,Afternoon,0,30.628,55.508,7/26/2023 17:58
ROCK,M,B,Afternoon,0,30.426,56.283,7/26/2023 18:08
ROCK,M,B,Afternoon,0,30.199,57.499,7/26/2023 18:18
ROCK,BF,B,Morning,192,30.856,68.292,7/27/2023 9:24
ROCK,BF,B,Morning,192,30.957,65.798,7/27/2023 9:34
ROCK,BF,B,Morning,192,31.008,63.97,7/27/2023 9:44
ROCK,BF,B,Morning,192,31.313,62.729,7/27/2023 9:54
ROCK,BF,B,Morning,192,31.568,60.494,7/27/2023 10:04
ROCK,BF,B,Morning,192,31.85,57.924,7/27/2023 10:14
